"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 19, 2020","27,523.08","27,547.56","27,556.13","27,512.72","290.13M","-0.09%"
"Feb 18, 2020","27,547.56","27,570.94","27,570.94","27,527.51","168.07M","-0.08%"
"Feb 17, 2020","27,570.94","27,756.56","27,818.09","27,507.99","134.61M","-0.67%"
"Feb 14, 2020","27,755.87","27,864.84","27,879.31","27,675.52","132.51M","-0.39%"
"Feb 13, 2020","27,864.84","27,881.45","27,916.64","27,686.34","150.72M","-0.05%"
"Feb 12, 2020","27,878.43","27,871.90","27,919.10","27,866.46","152.34M","0.02%"
"Feb 11, 2020","27,871.90","27,769.07","27,936.16","27,637.33","276.27M","0.36%"
"Feb 10, 2020","27,773.20","28,067.09","28,119.19","27,772.16","200.16M","-1.05%"
"Feb 07, 2020","28,067.09","28,140.41","28,195.75","28,054.73","303.93M","-0.26%"
"Feb 06, 2020","28,140.41","28,093.76","28,385.36","27,949.15","317.19M","0.17%"
"Feb 05, 2020","28,093.76","28,432.27","28,506.63","28,032.23","350.21M","-1.19%"
"Feb 04, 2020","28,432.27","28,533.40","28,540.30","28,415.12","254.85M","-0.35%"
"Feb 03, 2020","28,533.40","28,843.53","28,843.53","28,389.60","246.51M","-1.08%"
"Jan 31, 2020","28,843.53","29,035.55","29,096.29","28,817.45","348.56M","-0.65%"
"Jan 30, 2020","29,030.93","29,110.90","29,222.83","28,898.74","274.43M","-0.27%"
"Jan 29, 2020","29,110.90","29,378.63","29,381.95","29,054.23","242.76M","-0.91%"
"Jan 28, 2020","29,378.63","29,525.56","29,529.60","29,347.09","250.93M","-0.59%"
"Jan 27, 2020","29,552.99","29,628.84","29,648.35","29,552.99","444.01M","-0.26%"
"Jan 24, 2020","29,628.84","29,628.84","29,628.84","29,628.84","-","0.13%"
"Jan 23, 2020","29,591.29","29,591.29","29,591.29","29,591.29","-","0.45%"
"Jan 22, 2020","29,458.21","29,461.20","29,488.93","29,244.41","315.67M","-0.02%"
"Jan 21, 2020","29,462.76","29,713.61","29,723.75","29,360.13","272.84M","-0.83%"
"Jan 20, 2020","29,710.56","29,618.52","29,713.84","29,545.93","266.95M","0.31%"
"Jan 17, 2020","29,618.52","29,352.13","29,623.55","29,331.35","324.97M","0.91%"
"Jan 16, 2020","29,352.13","29,062.50","29,497.97","29,062.50","387.16M","1.00%"
"Jan 15, 2020","29,062.50","29,030.41","29,094.14","28,855.22","360.08M","-0.75%"
"Jan 14, 2020","29,283.15","29,633.58","29,812.97","29,037.12","666.78M","-1.18%"
"Jan 13, 2020","29,633.58","29,415.39","29,909.06","29,415.39","348.24M","0.74%"
"Jan 10, 2020","29,415.39","29,393.88","29,585.13","28,858.83","280.86M","0.07%"
"Jan 09, 2020","29,395.57","28,562.48","29,484.10","28,539.16","693.19M","2.92%"
"Jan 08, 2020","28,562.48","27,579.57","28,562.48","27,579.57","741.82M","3.54%"
"Jan 07, 2020","27,586.93","27,339.68","27,699.59","27,295.49","446.33M","0.90%"
"Jan 06, 2020","27,339.68","26,968.79","27,339.68","26,968.68","520.39M","1.38%"
"Jan 03, 2020","26,968.79","26,867.79","26,978.46","26,867.79","608.86M","0.38%"
"Jan 02, 2020","26,867.79","26,845.79","26,867.79","26,657.32","263.20M","0.10%"
"Dec 31, 2019","26,842.07","26,609.34","27,357.84","26,608.56","257.01M","0.87%"
"Dec 30, 2019","26,609.34","26,416.48","26,609.34","26,240.29","382.81M","0.73%"
"Dec 27, 2019","26,416.48","26,090.88","26,419.73","26,050.44","222.48M","1.24%"
"Dec 24, 2019","26,092.82","26,115.80","26,124.73","26,018.13","324.38M","-0.09%"
"Dec 23, 2019","26,115.80","26,526.35","26,526.35","26,102.21","188.79M","-1.55%"
"Dec 20, 2019","26,526.35","26,584.45","26,584.45","26,408.32","341.61M","-0.22%"
"Dec 19, 2019","26,584.45","26,665.73","26,684.74","26,536.01","304.21M","-0.30%"
"Dec 18, 2019","26,665.73","26,660.44","26,691.44","26,646.64","232.68M","0.02%"
"Dec 17, 2019","26,660.44","26,695.18","27,006.97","26,643.10","331.91M","-0.13%"
"Dec 16, 2019","26,695.18","26,536.21","26,695.18","26,521.38","170.52M","0.60%"
"Dec 13, 2019","26,536.21","26,569.80","26,627.68","26,503.92","155.34M","-0.13%"
"Dec 12, 2019","26,569.80","26,434.00","26,579.09","26,434.00","319.69M","0.51%"
